2,60.34808
3,60.72588
4,60.97033
5,61.19255
3,61.59257
2,61.8148
2,62.71483
1,62.73705
3,63.00373
4,63.23707
3,63.78153
2,64.05932
2,65.27047
1,66.12605
1,73.02628
2,73.3374
2,73.40408
1,73.61519
2,82.61549
1,83.3933
2,83.69331
3,83.97109
2,84.31555
1,84.48222
2,84.8489
3,84.99335
4,85.14891
3,85.79337
2,85.96004
2,86.41562
3,86.61562
4,87.23787
3,87.36009
2,88.0379
3,88.21568
1,88.86015
2,89.09348
3,89.32683
4,89.52683
5,89.76018
4,90.22686
3,90.44909
2,90.62687
1,90.78243
1,93.87142
5,96.01594
4,96.29372
5,96.77152
4,96.8493
5,97.11597
3,97.19376
2,97.28265
2,97.38265
3,97.41599
5,97.51599
4,97.60488
5,97.73822
3,97.84933
2,97.916
3,98.02711
5,98.116
4,98.19379
5,98.31602
3,98.3938
2,98.46046
3,98.61603
5,98.70492
3,98.9827
5,99.20493
4,99.33827
3,99.64939
4,100.8494
5,101.1606
3,101.2494
5,101.4272
4,101.5828
3,101.7828
4,102.0495
3,102.2495
5,102.3828
4,102.5162
5,102.7384
StaticModelFinal._12,106.3829
